;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
Adam3;CHI;go in your house and;;;;;;;;;;irregular continuation;
Adam3;CHI;play with your games;;;;;;;;;;irregular continuation;
Adam3;CHI;can the elephants;TRP;;reformatting;;;;;;;perspective reformatting;
Adam3;CHI;go in the baby's house;;;;;;;;;;irregular continuation;
Adam3;CHI;and play with the baby;;;;;;;;;;irregular continuation;
Adam3;CHI;do you have a car;;;;;;;;;;;
Adam3;CHI;do you have a green car;TRP;;inserting;;;;;;;;
Adam3;CHI;and the a car bounced on to;same-turn;replacing;;;;;;;correcting grammar;;
Adam3;CHI;we'd better crack;;;;;;;;;;;
Adam3;CHI;we'd better take it away;TRP;;replacing;;;;;;;;
Adam3;CHI;it's gonna make;same-turn;aborting;;;;;;;;irregular continuation;
Adam3;MOT;yeah;;;;;;;;;;;
Adam3;CHI;the;same-turn;aborting;;;;;;;;irregular continuation;
Adam3;MOT;careful;;;;;;;;;;;
Adam3;MOT;whoop;;;;;;;;;;;
Adam3;CHI;and the;same-turn;aborting;;;;;;;;irregular continuation;
Adam3;CHI;can;same-turn;sequence-jumping;;;;;;;;;
Adam3;CHI;can that could go on there;same-turn;recycling;;;;;;small repeat;;;
Adam3;CHI;it's;;;;;;;;;;;
Adam3;CHI;tall enough;;;;;;;;;;;
Adam3;CHI;it's tall enough;TRP;;recycling;;;;;;;;
Adam1;CHI;uh;same-turn;searching;;;;;small search;;;;
Adam1;CHI;can I;same-turn;aborting;;;;;;;;;
Adam1;CHI;a ball;;;;;;;;;;;
Adam1;CHI;be be a ball;same-turn;recycling;;;;;;small repeat;stuttering;;
Adam1;CHI;big bubbles;;;;;;;;;;;
Adam1;CHI;um;same-turn;searching;;;;;small search;;;;
Adam1;CHI;more Bubbles;Third-turn;;;replacing;;;;;misspeak;;
Adam1;CHI;feeding it;;;;;;;;;;;
Adam1;CHI;feeding the baby;TRP;;replacing;;;;;;;;
Adam1;CHI;help please;;;;;;;;;;;
Adam1;CHI;help please;TRP;;recycling;;;;;big repeat;no uptake;;
Adam1;CHI;spoon;;;;;;;;;;;
Adam1;CHI;there's the soon;TRP;;inserting;;;;;;;;
Adam1;CHI;here;same-turn;aborting;;;;;;;;;
Adam1;CHI;here's the tow;same-turn;recycling;;;;;;small repeat;;;
Adam1;CHI;there's the tow;TRP;;replacing;;;;;;misspeak;;
Adam1;CHI;it's pasta;;;;;;;;;;;
Adam1;CHI;it's pasta for a cookie;TRP;;recycling;;;;;big repeat;;;
Adam1;CHI;some pasta;;;;;;;;;;;
Adam1;CHI;more pasta;TRP;;replacing;;;;;;;;
Adam1;CHI;bed;;;;;;;;;;;
Adam1;CHI;a bed;TRP;;inserting;;;;;small repeat;;;
Adam1;CHI;they're in the nest;;;;;;;;;;;
Adam1;CHI;they're up on the nest;TRP;;replacing;;;;;;misspeak;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
