file,Speaker,Utterance,type,reptype,pause,search,repeat,cause,other
Adam3,CHI,a c,same-turn,aborting,NA,repetition search,small repeat,stuttering,NA
Adam3,CHI,I see,same-turn,recycling,short pause,NA,NA,NA,NA
Adam3,CHI,I don't,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,see one,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,here's a colorful one,TRP,replacing,NA,NA,NA,NA,NA
Adam3,CHI,they should,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,they should,same-turn,aborting,NA,repetition search,big repeat,NA,NA
Adam3,CHI,they should all take,same-turn,aborting,NA,repetition search,big repeat,NA,NA
Adam3,CHI,could,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,the,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,the,same-turn,aborting,NA,repetition search,small repeat,stuttering,NA
Adam3,CHI,the,same-turn,aborting,NA,repetition search,small repeat,stuttering,NA
Adam3,CHI,the,same-turn,aborting,NA,repetition search,small repeat,stuttering,NA
Adam3,CHI,I see,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,a,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,a,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam3,CHI,a c,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam3,CHI,I see,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,I see,Third-turn,recycling,NA,NA,big repeat,NA,NA
Adam3,CHI,I'm,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,I'm going to get some,same-turn,recycling,short pause,NA,small repeat,NA,NA
Adam3,CHI,lots of,same-turn,replacing,short pause,NA,NA,NA,NA
Adam3,CHI,that,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,elephant,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,can we,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,go in your house and,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,play with your games,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,can the elephants,TRP,reformatting,short pause,NA,NA,NA,NA
Adam3,CHI,go in the baby's house,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,do you have a green car,TRP,inserting,NA,NA,NA,NA,NA
Adam3,CHI,and the a car bounced on to,same-turn,replacing,NA,NA,NA,correcting grammar,NA
Adam3,CHI,we'd better take it away,TRP,replacing,NA,NA,NA,NA,NA
Adam3,CHI,it's gonna make,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,the,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,and the,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,can,same-turn,sequence-jumping,NA,NA,NA,NA,NA
Adam3,CHI,can that could go on there,same-turn,recycling,NA,NA,small repeat,NA,NA
Adam3,CHI,it's,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,tall enough,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,it's tall enough,TRP,recycling,NA,NA,NA,NA,NA
Adam1,CHI,uh,same-turn,searching,short pause,small search,NA,NA,NA
Adam1,CHI,can I,same-turn,aborting,short pause,NA,NA,NA,NA
Adam1,CHI,be be a ball,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam1,CHI,um,same-turn,searching,NA,small search,NA,NA,NA
Adam1,CHI,more Bubbles,Third-turn,replacing,NA,NA,NA,misspeak,NA
Adam1,CHI,feeding the baby,TRP,replacing,NA,NA,NA,NA,NA
Adam1,CHI,help please,TRP,recycling,NA,NA,big repeat,no uptake,NA
Adam1,CHI,there's the soon,TRP,inserting,NA,NA,NA,NA,NA
Adam1,CHI,here,same-turn,aborting,NA,NA,NA,NA,NA
Adam1,CHI,here's the tow,same-turn,recycling,NA,NA,small repeat,NA,NA
Adam1,CHI,there's the tow,TRP,replacing,NA,NA,NA,misspeak,NA
Adam1,CHI,it's pasta for a cookie,TRP,recycling,NA,NA,big repeat,NA,NA
Adam1,CHI,more pasta,TRP,replacing,NA,NA,NA,NA,NA
Adam1,CHI,a bed,TRP,inserting,NA,NA,small repeat,NA,NA
Adam1,CHI,they're up on the nest,TRP,replacing,NA,NA,NA,misspeak,NA
